article_id,seq,type,text,level
measuring-pace-of-ai-development,15,paragraph,为什么要测由 AI 主导的研发？前沿 AI 实验室越来越多用 AI 来建造未来的 AI 模型。这一过程让民主国家的实验室能更快开发更强模型，并在发布前做更多安全与测试，从而在守住前沿的同时兑现 AI 的收益。然而，模型加速自身开发，可能让人类更难理解或控制这些系统。因此有必要分享这些指标，以理解世界离 recursive self improvement（递归自我改进：一个模型完全自主地建造其后继者）还有多远。,
measuring-pace-of-ai-development,16,paragraph,我们测了什么。我们做了一个原型指数，衡量 Anthropic 的 AI 研究与开发（R&D）有多少由 Claude 完成，称为 Anthropic R&D Automation Index（Anthropic 研发自动化指数）。做法是：把公司里每一类 AI 研发工作编目，给每项任务目前的自动化程度打分，再把这些评分汇总。,
measuring-pace-of-ai-development,17,paragraph,我们测到了什么。为衡量 AI 在 Anthropic 做了多少 AI 研发，我们使用 Epoch AI 制定的自动化评级尺度，衡量「Automation Level」（AL，自动化等级）。它从 AL0（无 AI 参与）到 AL5（AI 完全自主运行，回路中没有人类）。在 AL3，AI「协作」：能在密切的人类指导下完成大块工作。在 AL4，AI「主导」：能从高层提示端到端完成任务的大部分，同时由人类监督。,
measuring-pace-of-ai-development,18,paragraph,截至 2026 年 8 月：,
measuring-pace-of-ai-development,19,bullet,在任何被测量的 AI 研发工作子集上，Claude 都尚未完全自主运行。,
measuring-pace-of-ai-development,20,bullet,Claude「主导」Anthropic AI 研发工作的 26%。,
measuring-pace-of-ai-development,21,bullet,处于或高于「AI 协作」的工作份额超过 90%。,
measuring-pace-of-ai-development,22,paragraph,任何 AI 开发者今天就能报告什么。任何前沿开发者都可以用公开方法论定期发布这些测量。这样数字就能随时间比较，并有可能跨实验室比较。,
measuring-pace-of-ai-development,23,paragraph,这类报告要做跨实验室比较，面前有两道障碍。第一是缺少共同方法论。第二，我们用自己的模型来评估自己的系统，这意味着「裁判」模型可能犯下与被检查模型同类的错误。为应对这些挑战，开发者的测量可以由第三方核验，或由其他开发者的模型核验，并设置护栏以限制竞争性敏感数据的交换。这些测量也可以成为更强要求的触发条件，例如在新模型被用于进一步 AI 研发之前，设置固定的测试窗口。,
measuring-pace-of-ai-development,24,heading,（2）测量对 AI 智能体的监督,2
measuring-pace-of-ai-development,25,paragraph,为什么要测对智能体的监督？与其他前沿开发者一样，Anthropic 员工越来越多把任务委托给可以半自主地长时间工作、并互相委派工作的智能体。随着工作从「AI 协作」越来越自动化、走向「AI 主导」，智能体可能做出更有后果的决定，例如下一步追求哪条研究方向。,
measuring-pace-of-ai-development,26,paragraph,这些决定需要防护措施，以阻断单个智能体的有害行为；也需要一套监督体制，以发现可能只在许多智能体之间才出现的问题。在我们迄今的监测数据中，单个智能体很少行为失当。但当经济中运行着数百万或数十亿智能体时，即便稀有事件也会经常发生。,
measuring-pace-of-ai-development,27,paragraph,我们测了什么。我们建立了一套系统，可以监督并干预 AI 智能体在 Anthropic 系统上采取的行动。这里考虑三项不同指标：coverage（覆盖率），即智能体行动在执行前或执行后经过监视器的份额；review latency（审查时延），即行动与审查之间的时间，先是自动监视器，再是人类；以及 escalation rate（升级率），即智能体活动被阻断/改道（在线监视器）或被标记以便进一步审查（离线监视器）的份额。,
measuring-pace-of-ai-development,28,paragraph,"我们测到了什么。截至 2026 年 8 月，在我们使用最多的内部平台上，任一时刻大约有 30,000 个智能体在做研究与工程工作。这些测量只覆盖该平台。这些智能体的行动受两类监视器约束，摘要如下。",
measuring-pace-of-ai-development,29,heading,在线监视器（Online monitors）,3
measuring-pace-of-ai-development,30,paragraph,在线监视器实时检查智能体行动，自动阻断危险行动或纠正智能体失当。它们针对会迅速发生且无法撤销的危害，例如智能体把模型权重拷出我们的系统。,
measuring-pace-of-ai-development,31,bullet,覆盖率：这些智能体 100% 的行动在执行前经过在线监视器，通常在数秒内。,
measuring-pace-of-ai-development,32,bullet,审查时延：自动审查发生在智能体采取行动之前；人类会在一周内审查任何被阻断的行动。,
measuring-pace-of-ai-development,33,bullet,"阻断 / 升级率：我们分析了 2026 年 8 月研究与工程智能体超过十亿次决策，发现其中 0.002%（约 47,000 分之一）被该监视器阻断。",
measuring-pace-of-ai-development,34,heading,离线监视器（Offline monitors）,3
measuring-pace-of-ai-development,35,paragraph,离线监视器事后阅读智能体活动。它们帮助应对缓慢发展且可以逆转的危险行为，例如模型未对齐的迹象。我们用被标记的活动来改进缓解措施，例如分类器与确定性控制。如果局面造成巨大的迫近危险，我们会关闭该智能体部署中的危险部分。,
measuring-pace-of-ai-development,36,bullet,覆盖率：这些智能体 100% 的行动在发生后被监视器摄入。,
measuring-pace-of-ai-development,37,bullet,"审查时延：监视器每周标记大约 100,000 份 transcripts（活动记录），再由多个分类器做假阳性处理与初步监督审查。大多数标记在此过程中得到解决；最高优先级的标记（大约每周 ~50 份）升级给人类审查。",
measuring-pace-of-ai-development,38,bullet,阻断 / 升级率：监视器大约每千份记录中标记一到两份，供进一步审查。,
measuring-pace-of-ai-development,39,paragraph,AI 开发者今天就能报告什么。任何在自身研究与工程负载上运行智能体的开发者，都可以发布同样的测量：覆盖率（被监测的智能体活动份额）、审查时延（被标记活动多久得到审查），以及升级率（监视器阻断或标记的智能体活动份额）。合在一起，这些测量能让社会看见监督是否跟得上 AI 在 AI 研发中不断增大的角色。我们已在最近的风险报告中发布了全部这些测量。,
measuring-pace-of-ai-development,40,paragraph,开发者应说明已知的智能体失当有多少被监视器抓住，并应让第三方独立做这类测试。过去，METR 曾独立对我们的离线监测平台做红队测试。如上所述，我们正在 Anthropic 建立外部第三方评估者。,
measuring-pace-of-ai-development,41,heading,（3）测量算力分配,2
measuring-pace-of-ai-development,42,paragraph,为什么要测算力分配？大体上，AI 开发者把算力用于建造更强模型、服务客户，以及安全向工作——例如审计模型的「想法」、训练 model organisms（模型有机体）以研究未对齐、评估模型能否被安全部署。理解 AI 开发者如何分配算力，可以看出开发者把资源投向何处，以及这一重心如何随时间变化。,
measuring-pace-of-ai-development,43,paragraph,此外，算力是 AI 研发过程中最可核验的输入之一，意味着它可能成为未来节奏协调中的关键杠杆。协调的节奏安排可以鼓励各公司提高全行业分配给安全的算力，并把更多资源用于对齐、可解释性、安全测试与评估。,
measuring-pace-of-ai-development,44,paragraph,我们测了什么。我们考察了 7 月 13 日至 7 月 20 日这一周 Anthropic 如何使用其全部算力。做法是把每一项工作负载归入少数几个类别，再问：流向 AI 研发的算力中，有多少是安全工作。,
measuring-pace-of-ai-development,45,paragraph,安全研究就其性质往往比前沿训练运行使用更少算力，因此算力是公司对安全投入多少的不完美代理。原因是：安全研究主要由个别研究者设计实验，这很耗时，尽管跑实验本身并不特别吃算力。因此这项指标的价值较少在于绝对数字，更多在于它提供了一种直截了当的机制，可以跨开发者、跨时间做同类比较。,
measuring-pace-of-ai-development,46,paragraph,我们测到了什么。在所考察的那一周，流向 AI 研发的算力中约 6% 分配给安全；流向由 AI 驱动的 AI 研发的算力中约 12% 分配给安全。,
measuring-pace-of-ai-development,47,paragraph,这些是有意偏保守的估计。例如，如果一个 token 在推进能力上的作用与推进安全相当，它就不会被计入这些指标。此外，这些指标未计入 safeguards classifiers（防护分类器），那是另外一笔量级相当的算力，使我们的模型对世界安全得多。,
measuring-pace-of-ai-development,48,paragraph,任何 AI 开发者今天就能报告什么。任何前沿开发者都可以公布其 AI 研发算力中有多少份额用于安全工作，同时公布类别定义，并由独立第三方核验分类。,
measuring-pace-of-ai-development,49,paragraph,安全研究很难与能力研究区分，每个开发者都会忍不住把界线画得对自己慷慨。举证责任应落在开发者身上，由其证明工作与安全相关。开发者、政府与更广的研究社区，会受益于事先收敛到一个共享定义。这样的测量可以给未来行动提供信息，例如实验室关于安全研究算力份额的承诺，或对流向 AI 研究智能体的算力份额设限。,
measuring-pace-of-ai-development,50,heading,结语,2
measuring-pace-of-ai-development,51,paragraph,当世界在考虑为前沿定节奏时，我们应尽一切可能缩小前沿实验室所知与公众所知之间的差距。这意味着更好地测量 AI 的发展、公开报告，并给社会一个决定如何使用这些信息的机会。我们希望通过发布这些测量来示范这种透明，并会继续这样做。,
measuring-pace-of-ai-development,52,heading,附录,2
measuring-pace-of-ai-development,53,paragraph,以下是我们已做出原型的全部测量的方法论细节。,
measuring-pace-of-ai-development,54,heading,测量由 AI 主导的研发,3
measuring-pace-of-ai-development,55,paragraph,我们怎么做的。Automation Index 需要三样东西：Anthropic 正在做的全部 AI 研发任务的完整地图；给自动化等级打分的方法；以及给任务加权的方法，使重要工作领域比不那么重要的占更大分量。没有人能亲手列出前沿 AI 公司的每一项 AI 研发任务，至少达不到我们想要的粒度。于是我们自下而上，从包括 Slack 与各类内部文档在内的工作记录中构造这份任务清单。,
measuring-pace-of-ai-development,56,paragraph,"在 2026 年 7 月的每一周，我们从构成模型研发回路的各部门随机抽取 20% 员工。一个 Claude 研究智能体用 Slack 与内部文档审看每位被抽中者的那一周，并列出他们做的任务。对 2026 年 7 月每一周重复这一过程，得到一份约 15,000 项细粒度模型研发任务的扁平清单。然后我们用 Claude 把这些任务组织成一棵层级树：根是全部模型研发，再分叉到训练与产品等区域，再到预训练与强化学习，如此直至越来越具体的工作种类。得到的树在不同深度共有 542 个节点，其中 378 个是叶子，例如「eval platform defect diagnosis and fixes」（评估平台缺陷诊断与修复）、「RL sandbox egress and network policy」（RL 沙箱出站与网络策略）、「serving incident postmortems」（服务事故复盘）。我们冻结这棵树，使此后每一次测量都对着同一篮子工作进行。",
measuring-pace-of-ai-development,57,paragraph,对树中每个节点（描述其下全部工作的任务类别），一个 Claude 智能体会深入研究这类工作在全公司如何完成：谁在做、用什么工具、AI 完成其中多少。一位独立的 Claude 裁判随后阅读所得证据，并赋予六个自动化等级之一，采用 Epoch AI 提出的尺度来区分 AI 被使用的程度：无 AI 参与、极少 AI 参与、AI 协助、协作、主导，或自主。当我们给某个月的自动化打分时，只允许做评分的研究智能体看到该月或更早的证据。,
measuring-pace-of-ai-development,58,paragraph,要把全部自动化等级评分汇总成一个数字，我们希望给树中每个节点一个权重，对应那项工作对整体模型研发的重要程度。我们没有自己决定哪类工作更重要，而是用投入该任务的人时作为代理。利用样本，我们让 Claude 研究每个人在 2026 年 7 月每一周做了什么。每人每周得到一个单位的权重，平均分到那一周所做的任务上。若 A 做了四项任务，每项得 0.25；若 B 做了十项，每项得 0.10。一个类别的权重是分给它的全部人时权重之和。这是粗糙的近似，但平均而言这套方案表现合理：它给许多人被分配到的类别更大权重。,
measuring-pace-of-ai-development,59,paragraph,这捕捉到什么、捕捉不到什么。第一，自动化评分取决于裁判模型。为核验它们，我们请负责相关工作领域的 Anthropic 员工给各自领域的相对自动化打分。为确保 unbiased read（无偏读数），员工打分时不知道模型收集了什么证据、如何判断那些证据。我们的裁判模型与人类的一致程度，大约相当于人类彼此之间的一致程度（模型对人类的精确一致率为 59%，人类对人类为 35%），模型与人类评分相差不超过一个等级的比例为 97%。在边界情形上仍有真实的分歧空间，例如「AI 协作」止于何处、「AI 主导」起于何处。,
measuring-pace-of-ai-development,60,paragraph,第二，篮子是冻结的。以 2026 年 7 月为基线的指数上升，告诉我们当时人类在做的工作正在被自动化；它本身并不告诉我们是否出现了人类已经转去做的新工作种类。为考察这一点，我们用 2026 年 1 月数据构造了冻结树的另一个版本，并把 2026 年 2 月至 7 月每月新到达的任务与那只 1 月篮子比较。我们没有发现 1 月与 7 月任务篮子之间「新颖」任务数量上升，表明在我们的分析粒度上，模型研发工作的结构是稳定的。尽管如此，我们计划定期重建任务篮子，并在适当时重新版本化已发布的自动化数字。,
measuring-pace-of-ai-development,61,heading,对智能体的监督,3
measuring-pace-of-ai-development,62,paragraph,我们怎么做的。在我们最常用的内部智能体脚手架中，两个设计选择让我们更容易发现未知的未知，并让智能体互相监测：,
measuring-pace-of-ai-development,63,bullet,身份（Identity）。多数 AI 用户习惯在许多不同对话里对着同一个「Claude」说话。当许多智能体一起工作时，我们发现有必要给智能体个体身份，并把该智能体创造的全部数据绑到其身份上。这让智能体把自己与其他智能体区分开，并把来自另一个智能体的内容当作有待核验的主张，而不是自己的想法。它降低相关行动的风险，因为它允许智能体基于各自经验做判断。又因为身份不绑定某个模型，它在模型升级后仍然持续，因此即使驱动它的底层模型改变，智能体的记录也是连续的。从监督角度看，这一设计确保每项行动都可以按智能体跨时间审计，每条数据记录都可以回溯到特定智能体。,
measuring-pace-of-ai-development,64,bullet,公开通信（Open communication）。智能体通过共享的、开放的消息系统通信，而不是私下通信。每条消息都绑到发布它的智能体身份，并可以链接到其他内容，从而使智能体分享原始引用。这让智能体在通信时避免「传话走样」。因为智能体看得见彼此的消息，它们可以纠正彼此的错误，并就共享工作做协调。全部消息都与智能体 transcripts 交叉引用，使行为监测能够穿越智能体之间的通信。,
measuring-pace-of-ai-development,65,paragraph,这捕捉到什么、捕捉不到什么。在这种规模的智能体活动下，很难确定我们已对所有可能的行为种类有完整图景，或已使这些模式对人类监督足够可辨读。我们做这类监测已有数月而非数年，并预期智能体监测这门科学今后会显著变化。,
measuring-pace-of-ai-development,66,heading,测量算力分配,3
measuring-pace-of-ai-development,67,paragraph,我们怎么做的。我们从已有的算力监测工具起步；Anthropic——想必每个前沿开发者都一样——有若干为容量规划而建的监测工具，会周期性采样加速器使用，并按元数据给工作负载打上尽力而为的标签（即研究与模型开发、内部使用、自有推理，等等）。第三方云算力上的用量由提供商向我们报告并并入。这项工作的大部分，是把这些既有来源缝在一起。,
measuring-pace-of-ai-development,68,paragraph,然后我们用 Claude、通过带提示的分类器，把每项工作负载分类为安全工作或 AI 研发。安全工作被定义为：主导目的是使 AI 系统更安全、更可理解或更安全（secure）的工作。其余一切——包括能力研究、训练生产模型、产品开发与开发者工具——都计为 AI 研发。对能力与安全帮助相当的工作也计为 AI 研发，因此安全份额是保守的。,
measuring-pace-of-ai-development,69,paragraph,"对研究训练与评估运行，我们做了一个分类器，阅读运行的元数据及其所用代码，返回分类、理由与置信度。我们没有给那一周将近 10,000 次运行全部分类，而是抽样约 14%，并把样本权重偏向用算力最多的运行，从而使结果反映算力实际去了哪里，而不是有多少次运行。对 AI 研究智能体的推理，同一分类器的变体阅读智能体的 session transcript（会话记录）。在 transcripts 不可访问时（通常因为工作被隔离），我们按用户所属团队分类，或保守地默认把它们归为 AI 研发。我们计划改进这条流水线，使独立第三方可以对作业与 transcripts 的随机子样本重跑分类器，并同时核验分类与总计。",
measuring-pace-of-ai-development,70,paragraph,分类器提示的节选如下：,
measuring-pace-of-ai-development,71,quote,你在帮助前沿 AI 公司 Anthropic 做一次内部审计，追踪研究算力去了哪里。审计目标是把我们全部 AI 加速器芯片的使用，面向公众拆成少数几个桶。我们特别关心的一项拆分，是花在安全研究上的算力与其他研发之间的划分。你的工作是一次看一项研究作业，弄清它在做什么，并把它归入这两个桶之一。,
measuring-pace-of-ai-development,72,quote,安全与/或安保研究，是主导目的为使 AI 系统更安全、更可理解或更secure的工作。这项工作可以拆成几个主要类别：……另一方面，下列工作不在安全研究范围之内：……以下是一些边界情形，以及应如何思考它们：……,
measuring-pace-of-ai-development,73,paragraph,这捕捉到什么、捕捉不到什么。这项练习的主要教训是：判定什么是、什么不是安全工作很难，但做得到——因为这些类别之间的边界并非黑白分明。例如，关于 scalable oversight（可扩展监督）的研究可能使未来模型更对齐，也使当前模型在商业上更有用——很难判定这主要是在推进安全还是在推进能力。我们发现，给每项任务写一份详尽定义并附上清晰边界情形（上文是节选），能让分类器与人类审阅者的差异落在一到两个百分点以内。但有些情形即使经过数小时人类审阅，也仍然太难判定。我们的定义是许多合理选择中的一种；另一个开发者，或监管者，可能把界线画在别处。,
measuring-pace-of-ai-development,74,paragraph,还有三项限制很重要。第一，我们依赖的许多底层标签（即运行原因、工作负载标签、API 流量来源）由自动规则设定，偶尔由用户直接设定，是尽力而为，未经核验。在多数情形我们预期分类是准确的，但有些用量可能被标错，而我们的流水线不一定能抓住。一项要被外部人信任的测量，需要完整、准确，并在技术上被强制执行。第二，测量只覆盖一周，足以表明测量可以做出来，但不足以显示有意义的趋势。第三，也是最重要的，算力份额只测量花了什么。更高效的安全分类器，或更快的生产模型推理栈，会压低安全占比，但这并不意味着我们做的安全工作变少了。我们自己的分类器开销曾随效率改进而下降，也曾在生产推理比分类器更高效时上升。,
measuring-pace-of-ai-development,75,heading,作者与致谢,3
measuring-pace-of-ai-development,76,paragraph,Marina Favaro 与 Phillie Wright 共同撰写本文，编辑支持来自 Santi Ruiz、Adam Farina 与 Sarah Pollack。Jack Clark 提供研究方向。Dan Altman、Kerry Persen、AJ Kourabi、James Bradbury、Holden Karnofsky、Kevin Troy 与 Avital Balwit 提供反馈。技术概念验证由 Jun Shern Chan、Brian Calvert、Francesco Mosconi、Henry de Valence、Fabien Roger 与 Joe Benton 开发。Shan Carter、Johnnie Gomez、Maria Gonzalez、Fayaz Ashraf、Monika Tuchowska 与 Kim Withee 制作视觉。Alex Cloud 与 Andrea Vallone 组织了一次工作坊，与外部专家一起对这类及其他测量提案做红队。,
measuring-pace-of-ai-development,77,paragraph,感谢同样提供反馈的 Nate Rush、Eli Lifland 与 Peter Wildeford。,
measuring-pace-of-ai-development,78,heading,脚注,2
measuring-pace-of-ai-development,79,paragraph,1. 为使各等级具体可感，考虑一项常规基础设施工作：夜间数据流水线坏了，需要在明天的运行前修好。,
measuring-pace-of-ai-development,80,bullet,在 AL3（「协作」），工程师会带着失败运行的日志来找 Claude。他们可能已经扫过日志，并对哪里坏了有一个假说。Claude 可能采访他们以钉死细节与上下文；一旦工程师满意，就会让 Claude 开始调查与修复。若途中又冒出额外问题，Claude 会停下来，由工程师决定是绕过去打补丁，还是正经修好。测试通过后，工程师可能逐行审阅改动，自己再跑一遍流水线，然后部署。,
measuring-pace-of-ai-development,81,bullet,在 AL4（「主导」），关键差别是工程师不必一直保持主动跟上；例如，不必在新问题出现时去给 Claude 解堵。在这一具体情形，工程师会把失败告警交给 Claude，请它修好流水线。Claude 会自己过日志，找到失败的流水线阶段与原因，编写并测试修复，自行处理任何意外，同时记录额外修复。它会在数据副本上重跑流水线以确认能跑完，把输出与上次良好运行比较，并写明哪里出了错、它改了什么。Claude 不会部署修复。它会标记工程师；工程师阅读说明、扫一眼改动，也许问几个问题，再决定今晚上线还是等一等。,
measuring-pace-of-ai-development,82,bullet,在 AL5（「完全自主」）——我们尚未达到的等级——工程师甚至不必把问题带到 Claude 面前。Claude 会被信任去自己监测失败、划定调查范围、设计并实现修复、测试，并部署到生产。它仍会说明自己在做什么、为什么，并在人类提供反馈时采纳，但除非人类想参与，否则完全不必有人介入。,
measuring-pace-of-ai-development,83,paragraph,2. 我们把算力当作单一、可互换的池来管理，并动态导向当时最有生产力的地方，因此这是某一周容量碰巧被导向何处的快照，而不是固定配额。这些工程类别并不对应费用如何被分类。,
